case,dataset,image_hw,input_c,output_c,base_dim,plot_index,operator_index_27,plot_row_kind,node,op_type,source_nodes,alpha_visible,beta_output,output_top_beta,output_bottom_beta,ct,ct_count_raw,rotation,diagonal_count,bootstrap_count,bootstrap_ct_count,bootstrap_source_node,bootstrap_reason_folded,folded_activation_node,folded_activation_edge_kind,folded_activation_edge_detail,bootstrap_drop_count,bootstrap_drop_ct_saved,bootstrap_drop_slots_saved,bootstrap_drop_detail,edge_kind,incoming_edge_kind,edge_kind_counts,edge_kind_detail,edge_carry_count,edge_fused_count,edge_explicit_count,edge_bootstrap_drop_count_raw,edge_layout_changed_count,edge_carry_halo_count,folded_skip_merge_node,folded_skip_merge_edge_kind,folded_skip_merge_edge_kind_counts,folded_skip_merge_edge_detail,folded_skip_merge_explicit_count,folded_skip_merge_carry_count,folded_skip_merge_fused_count,plot_edge_label,output_gap,output_shape,fhe_output_shape,selected_output_layout,folding_note
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,11,11,operator,enc4b,Conv2d,enc4a_act,19,0,0,0,5,5,135168,1572864,0,0,,,,carry,enc4b->enc4b_act:carry:layout_same_carry_compact:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc4a_act->enc4b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc4b:fused,8,1x256x24x24,1x4x192x192,"{""bottom_beta"":0,""core_slots"":147456,""gap"":8,""stored_slots"":147456,""stride"":2,""tile_count"":5,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,12,12,operator,pool4,AvgPool2d,enc4b_act,6,1,1,1,2,2,1024,2048,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc4b_act->pool4:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,0,0,,,,,0,0,0,pool4:carry,16,1x256x12x12,1x1x192x192,"{""bottom_beta"":1,""core_slots"":36864,""gap"":16,""stored_slots"":43008,""stride"":1,""tile_count"":2,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,13,13,operator,bottlenecka,Conv2d,pool4,8,1,1,1,3,3,266240,2752512,3,3,bottlenecka_act,child_level_exceeds_output_level,bottlenecka_act,carry,bottlenecka->bottlenecka_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,pool4->bottlenecka:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,bottlenecka:fused,16,1x512x12x12,1x2x192x192,"{""bottom_beta"":1,""core_slots"":73728,""gap"":16,""stored_slots"":86016,""stride"":1,""tile_count"":3,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,14,14,operator,bottleneckb,Conv2d,bottlenecka_act,8,1,1,1,3,3,532480,5505024,0,0,,,,carry,bottleneckb->bottleneckb_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,bottlenecka_act->bottleneckb:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,bottleneckb:fused,16,1x512x12x12,1x2x192x192,"{""bottom_beta"":1,""core_slots"":73728,""gap"":16,""stored_slots"":86016,""stride"":2,""tile_count"":3,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,15,15,operator,up4,ConvTranspose2d,bottleneckb_act,16,2,2,2,6,6,4096,1572864,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,bottleneckb_act->up4:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,0,1,,,,,0,0,0,up4:carry,8,1x256x24x24,1x4x192x192,"{""bottom_beta"":2,""core_slots"":147456,""gap"":8,""stored_slots"":172032,""stride"":2,""tile_count"":6,""top_beta"":2}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,16,16,operator,dec4a,Conv2d,cat4,19,1,1,1,5,5,9216,3538944,5,5,dec4a_act,child_level_exceeds_output_level,dec4a_act,carry,dec4a->dec4a_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,cat4->dec4a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,cat4,mixed:carry+explicit,carry=1;fused=0;explicit=1;bootstrap-drop=0,enc4b_act->cat4:explicit:dp_add_input_alignment:mode=halo_local;up4->cat4:carry:layout_same_carry_halo:mode=halo_local,1,1,0,cat4:mixed:carry+explicit | dec4a:fused,8,1x256x24x24,1x4x192x192,"{""bottom_beta"":1,""core_slots"":147456,""gap"":8,""stored_slots"":159744,""stride"":1,""tile_count"":5,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,17,17,operator,dec4b,Conv2d,dec4a_act,19,1,1,1,5,5,135168,1572864,0,0,,,,carry,dec4b->dec4b_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,dec4a_act->dec4b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,dec4b:fused,8,1x256x24x24,1x4x192x192,"{""bottom_beta"":1,""core_slots"":147456,""gap"":8,""stored_slots"":159744,""stride"":2,""tile_count"":5,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,18,18,operator,up3,ConvTranspose2d,dec4b_act,38,2,2,2,10,10,2048,327680,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,dec4b_act->up3:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,0,1,,,,,0,0,0,up3:carry,4,1x128x48x48,1x8x192x192,"{""bottom_beta"":2,""core_slots"":294912,""gap"":4,""stored_slots"":319488,""stride"":2,""tile_count"":10,""top_beta"":2}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,19,19,operator,dec3a,Conv2d,cat3,38,1,1,1,10,10,4608,884736,9,9,dec3a_act,child_level_exceeds_output_level,dec3a_act,carry+bootstrap-drop,dec3a->dec3a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->dec3b:bootstrap-drop:drop_halo_before_bootstrap,1,1,12288,bootstrap-boundary->dec3b:bootstrap-drop:drop_halo_before_bootstrap,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,cat3->dec3a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,cat3,mixed:carry+explicit,carry=1;fused=0;explicit=1;bootstrap-drop=0,enc3b_act->cat3:explicit:dp_add_input_alignment:mode=halo_local;up3->cat3:carry:layout_same_carry_halo:mode=halo_local,1,1,0,cat3:mixed:carry+explicit | dec3a:fused,4,1x128x48x48,1x8x192x192,"{""bottom_beta"":1,""core_slots"":294912,""gap"":4,""stored_slots"":307200,""stride"":1,""tile_count"":10,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,20,20,operator,dec3b,Conv2d,dec3a_act,38,1,1,1,10,10,34816,393216,0,0,,,,carry,dec3b->dec3b_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,dec3a_act->dec3b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,dec3b:fused,4,1x128x48x48,1x8x192x192,"{""bottom_beta"":1,""core_slots"":294912,""gap"":4,""stored_slots"":307200,""stride"":2,""tile_count"":10,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
